item_id,item_name,size,category,cpi_category,essential_status,num_years,mean_yoy_pct,median_yoy_pct,std_yoy_pct,max_yoy_pct,min_yoy_pct,num_positive_years,num_significant_increases,consistency_score,years_in_top_percentile,volatility_cv,trend_type,cumulative_inflation_pct
Clip On Lamp-Plastic|,Clip On Lamp-Plastic,,ELECTRICAL,Recreation,non-essential,6,2.9040404040404035,0.0,4.112751887601599,9.090909090909092,0.0,2,0,0.3333333333333333,2,1.4162171717306378,volatile,18.181818181818183
Clotrimazole Antifungal Cream|,Clotrimazole Antifungal Cream,,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,2.272727272727271,0.0,5.081972676135883,13.636363636363628,0.0,1,1,0.16666666666666666,1,2.23606797749979,volatile,13.636363636363628
Coax Cable|,Coax Cable,,ELECTRICAL,Recreation,non-essential,6,7.04629360543339,4.054054054054052,7.766685426913932,19.35483870967742,0.0,3,2,0.5,3,1.1022369861121097,volatile,48.14814814814814
Colgate Toothpaste|6 oz,Colgate Toothpaste,6 oz,HYGIENE,Personal care,essential,6,1.6550116550116545,0.0,6.455024853798011,15.38461538461538,-5.454545454545452,1,1,0.16666666666666666,1,3.9002896651821795,volatile,9.090909090909092
Colored Pencils|12 pk,Colored Pencils,12 pk,ART SUPPLIES,Recreation,non-essential,6,27.820180491551458,0.0,58.06083269114915,157.14285714285714,-3.1250000000000027,2,2,0.3333333333333333,2,2.087004169824897,spiker,181.25
Conditioner|15 oz,Conditioner,15 oz,HYGIENE,Personal care,essential,6,1.30164489598452,0.9433962264150993,1.477189561333317,4.000000000000004,0.0,3,0,0.5,0,1.13486371428209,volatile,8.000000000000007
Cotton Swabs|100 ct,Cotton Swabs,100 ct,HYGIENE,Personal care,essential,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,999.0,steady,0.0
Dandruff Shampoo|12 oz,Dandruff Shampoo,12 oz,HYGIENE,Personal care,essential,6,11.86206896551724,0.0,20.230929962565188,55.172413793103445,0.0,2,2,0.3333333333333333,2,1.705514444518577,volatile,80.0
Dial Soap|1.25 oz,Dial Soap,1.25 oz,HYGIENE,Personal care,essential,6,13.888888888888891,0.0,20.22252747022366,49.99999999999999,0.0,2,2,0.3333333333333333,2,1.4560219778561032,volatile,100.0
Diamode-Anti Diarrheal|6 pks,Diamode-Anti Diarrheal,6 pks,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,6.567375331677392,1.923076923076925,10.995821034707138,27.77777777777776,-5.263157894736835,3,2,0.5,2,1.67430982384536,volatile,42.105263157894754
Dictionary (English)|,Dictionary (English),,CORRESPONDENCE,Recreation,non-essential,6,1.5720390720390718,0.0,9.086479209664079,15.384615384615383,-14.285714285714285,2,1,0.3333333333333333,2,5.780059396283403,volatile,7.142857142857142
Dipole Antenna-FM T-Style|,Dipole Antenna-FM T-Style,,ELECTRICAL,Recreation,non-essential,6,15.71371610845295,0.0,24.221431314365564,54.54545454545454,-5.000000000000004,2,2,0.3333333333333333,2,1.5414196837459742,volatile,112.5
