item_category,item_name,item_price,price_per_unit,price_per_unit_type,item_size
Creamy Peanut Butter,Peter Pan Creamy Honey Peanut Butter Spread,0.15,0.15,oz,16.3 oz
Creamy Peanut Butter,Jif Reduced Fat Creamy Peanut Butter Spread,0.17,0.17,oz,16 oz
Creamy Peanut Butter,Good Good No Added Sugar Creamy Peanut Butter,0.43,0.43,oz,16 oz
Creamy Peanut Butter,H-E-B Organics 7g Protein Creamy Peanut Butter Spread - Texas-Size Pack,0.25,0.25,oz,37 oz
Creamy Peanut Butter,Hill Country Fare PB&J Stripes - Creamy Peanut Butter & Grape Jelly,0.14,0.14,oz,18 oz
Creamy Peanut Butter,Nature Valley 10g Protein Creamy Crisp Bars - Peanut Butter Chocolate,0.79,0.79,ct,5 ct
Creamy Peanut Butter,Jif Creamy Peanut Butter Pack & Snack Pouches,0.34,0.34,oz,4 ct
Creamy Peanut Butter,Peter Pan Natural Creamy Peanut Butter,0.14,0.14,oz,40 oz
Creamy Peanut Butter,Nature Valley Peanut Butter Chocolate Crispy Creamy Wafer Bars,0.79,0.79,ct,5 ct
Creamy Peanut Butter,Nut' N Better Organic Creamy Peanut Butter - No Stir,0.29,0.29,oz,18 oz
Creamy Peanut Butter,MaraNatha Organic No Sugar Added Creamy Peanut Butter,0.34,0.34,oz,16 oz
Creamy Peanut Butter,Nature Valley Peanut Butter Crispy Creamy Wafer Bars,0.79,0.79,ct,5 ct
Creamy Peanut Butter,Skippy Natural Creamy Peanut Butter Spread with Honey,0.2,0.2,oz,15 oz
Creamy Peanut Butter,Jif Natural Simply Squeeze Creamy Peanut Butter Spread,0.27,0.27,oz,13 oz
Creamy Peanut Butter,H-E-B Natural 6g Protein Creamy Peanut Butter - Honey,0.12,0.12,oz,16 oz
Creamy Peanut Butter,Hill Country Fare PB&J Stripes - Creamy Peanut Butter & Strawberry Jelly,0.14,0.14,oz,18 oz
Creamy Peanut Butter,Lotus Biscoff Creamy Cookie Butter,0.39,0.39,oz,14.1 oz
Creamy Peanut Butter,Nutella Hazelnut Spread with Cocoa,0.38,0.38,oz,13 oz
Creamy Peanut Butter,Peter Pan Honey Roasted Creamy Peanut & Honey Spread,0.14,0.14,oz,40 oz
Creamy Peanut Butter,H-E-B Made in Texas Crunchy Peanut Butter,0.14,0.14,oz,28 oz
Creamy Peanut Butter,H-E-B Bulk Freshly Ground Peanut Butter,0.15,0.15,oz,lb
Creamy Peanut Butter,Justin's Classic Peanut Butter Spread,1.09,1.09,oz,1.15 oz
Creamy Peanut Butter,Justin's Honey Peanut Butter Spread,1.09,1.09,oz,1.15 oz
Creamy Peanut Butter,Peanut Butter & Co. Peanut Butter - White Chocolate Wonderful,0.3,0.3,oz,16 oz
Creamy Peanut Butter,H-E-B Almond Butter Stock,0.22,0.22,oz,lb
Creamy Peanut Butter,H-E-B Creamy Almond Butter - Cinnamon,0.44,0.44,oz,16 oz
Creamy Peanut Butter,Nutella & Go! Hazelnut Spread + Breadsticks,1.38,1.38,oz,1.8 oz
Creamy Peanut Butter,Central Market Smooth Peanut Butter with Honey - Salted,0.2,0.2,oz,18 oz
Creamy Peanut Butter,H-E-B Organics 7g Protein Crunchy Peanut Butter,0.25,0.25,oz,18 oz
Creamy Peanut Butter,MaraNatha All Natural No Stir Creamy Almond Butter,0.7,0.7,oz,12 oz
Creamy Peanut Butter,Barney Butter Smooth Almond Butter,1.3,1.3,oz,0.6 oz
Creamy Peanut Butter,SunButter Creamy Sunflower Butter On the Go Cups,0.72,0.72,oz,6 ct
Creamy Peanut Butter,MaraNatha No Salt No Sugar Creamy Almond Butter,0.7,0.7,oz,12 oz
Creamy Peanut Butter,Justin's Classic Almond Butter,0.86,0.86,oz,16 oz
Creamy Peanut Butter,Justin's Honey Almond Butter,0.86,0.86,oz,16 oz
Creamy Peanut Butter,Justin's Honey Almond Butter,1.29,1.29,oz,1.15 oz
Creamy Peanut Butter,MaraNatha All Natural Raw Creamy Almond Butter,0.73,0.73,oz,16 oz
