year,category,item_name,size,price_min,price_max
2019,PACKAGED MEAT,EGKH Tuna w/ Jalapenos,3.53 oz,0.95,0.95
2019,PACKAGED MEAT,EH Chicken Chili w/Beans,8 oz,1.45,1.45
2019,PACKAGED MEAT,EH Chunk Chicken,7 oz,2.75,2.75
2019,PACKAGED MEAT,EKH Mackerel-Fillet,3.53 oz,0.85,0.85
2019,PACKAGED MEAT,EKH Mackerel-Sriracha,3.53 oz,0.65,0.65
2019,PACKAGED MEAT,EKH Tuna In Water,4.23 oz,1.45,1.45
2019,PACKAGED MEAT,KH Sardines,3.53 oz,0.6,0.6
2019,PACKAGED MEAT,Low Sodium Chili No Beans,8 oz,1.7,1.7
2019,PACKAGED MEAT,Low Soduim Chili w/Beans,8 oz,1.6,1.6
2019,PACKAGED MEAT,Pink Salmon,,1.75,1.75
2019,PACKAGED MEAT,Roast Beef & Gravy,12 oz,3.45,3.45
2019,SEASONAL ITEMS,Chocolate Dipped Pretzels,,2.5,2.5
2019,SEASONAL ITEMS,Habanero Cheese Spread,,2.0,2.0
2019,SEASONAL ITEMS,Holiday Pack,3 piece,13.0,13.0
2019,SEASONAL ITEMS,PeanutButter Chocolate Pretzels,,4.75,4.75
2019,SEASONAL ITEMS,Pecan Krunch,,3.0,3.0
2019,SEASONAL ITEMS,Pecan Pie-Individual,,0.6,0.6
2019,SEASONAL ITEMS,Pumpkin Spice Pie-Individual,,0.6,0.6
2019,SEASONAL ITEMS,Summer Sausage,,1.7,1.7
2019,SHOES,Reebok- Men & Women,,49.0,49.0
2019,SHOES,Shower Shoes,,5.5,7.0
2019,SHOES,Work Boot,,10.0,25.0
2019,SNACKS,Almonds,2.25 oz,1.5,1.5
2019,SNACKS,Bagel Chip,8.81 oz,2.0,2.0
2019,SNACKS,Blueberry/Banana Muffins,4 oz,0.6,0.6
2019,SNACKS,Caramel Corn Rice Cakes,,2.65,2.65
2019,SNACKS,Corn Chips,16 oz,1.5,1.5
2019,SNACKS,EGH Sunflower Kernels,6 oz,0.85,0.85
2019,SNACKS,EK BBQ Chips,8 oz,1.25,1.25
2019,SNACKS,EK Cookies-Assorted-5 to 15 oz .,,50.0,1.15
2019,SNACKS,EK Jalapeno Potato Chips,8 oz,1.35,1.35
2019,SNACKS,EK Tortilla Chips,16 oz,1.5,1.5
2019,SNACKS,EK Whole Shabang Chips,8 oz,1.25,1.25
2019,SNACKS,Fig Bars,,2.5,2.5
2019,SNACKS,Golden Round Crackers,13.7 oz,1.75,1.75
2019,SNACKS,Honey Buns (box),10.5 oz,1.65,1.65
2019,SNACKS,KH Energizer Mix,2 oz,0.35,0.35
2019,SNACKS,KH Pretzels,12 oz,1.2,1.2
2019,SNACKS,KH Salted Peanuts,2 oz,0.25,0.25
2019,SNACKS,KH Vanilla Wafers,16 oz,1.15,1.15
2019,SNACKS,Kettle Corn Popcorn,,0.85,0.85
2019,SNACKS,Monster Iced Honey Buns,,0.85,0.85
2019,SNACKS,Nutty Wafer Bars (box),12 oz,1.65,1.65
2019,SNACKS,Oatmeal Crème Pies (box),16 oz,1.85,1.85
2019,SNACKS,Potato Chips-Ripple,2 oz,0.45,0.45
2019,SNACKS,Saltine Cracker,4 oz,0.35,0.35
2019,SNACKS,Spicy Nacho Cheese Chips,3 oz,0.5,0.5
2019,SNACKS,Spicy Pork Skins,2.75 oz,0.85,0.85
2019,SNACKS,Spicy Snack Mix,11 oz,1.5,1.5
2019,SNACKS,Sugar Free Chocolate Pudding,,1.5,1.5
2019,SNACKS,Sugar Free Strawberry Wafers,,0.55,0.55
2019,SNACKS,Tater Skin Chips,6 oz,1.5,1.5
2019,SNACKS,Wheat Thin Crackers,9.1 oz,1.6,1.6
2019,SODAS,Big Blue,12 oz,0.55,0.55
2019,SODAS,Big Red,12 oz,0.55,0.55
2019,SODAS,Cherry Dr. Pepper,12 oz,0.55,0.55
2019,SODAS,EK Coca Cola,12 oz,0.55,0.55
2019,SODAS,EK Dr Pepper,12 oz,0.55,0.55
2019,SODAS,EK Root Beer,12 oz,0.55,0.55
2019,SODAS,EK Sprite,12 oz,0.55,0.55
2019,SODAS,EKH Diet Dr. Pepper,12 oz,0.55,0.55
2019,SODAS,Fanta Orange,12 oz,0.55,0.55
2019,SODAS,Fanta Pineapple,12 oz,0.55,0.55
2019,SODAS,KH Coke Zero,12 oz,0.55,0.55
2019,SODAS,KH Diet Coca Cola,12 oz,0.55,0.55
2019,SODAS,Mountain Dew,12 oz,0.55,0.55
2020,ART SUPPLIES,Adult Coloring Book (50 pg),,4.75,4.75
2020,ART SUPPLIES,Colored Pencils,12 pk,1.55,1.55
2020,ART SUPPLIES,Drawing Pad,9x12,1.25,1.25
2020,ART SUPPLIES,Illustration Boards,2 pk,4.3,4.3
2020,ART SUPPLIES,Mini Colored Pencils,24 pk,2.5,2.5
2020,ART SUPPLIES,Protractor Ruler,,0.5,0.5
2020,ART SUPPLIES,Watercolor Pad,9x12,5.5,5.5
