year,category,item_name,size,price_min,price_max
2021,KOSHER ITEMS,Instant Chili w/ Beans,12 oz,1.5,1.5
2021,KOSHER ITEMS,Matzo Crackers,10 oz,3.25,3.25
2021,KOSHER ITEMS,Stuffed Chicken,12 oz,6.5,6.5
2021,MALE ONLY,Hygiene Pack,3 piece,10.0,10.0
2021,MALE ONLY,Mennen Antiperspirant,3 oz,2.45,2.45
2021,MALE ONLY,Mennen Deodorant,3 oz,1.0,1.0
2021,MISCELLANEOUS,Battery AA,,0.4,0.4
2021,MISCELLANEOUS,Bowl - Plastic,,1.0,1.0
2021,MISCELLANEOUS,Commissary Mesh Bag,,2.65,2.65
2021,MISCELLANEOUS,Cooling Towel,,2.0,2.0
2021,MISCELLANEOUS,Ear Plugs,,0.15,0.15
2021,MISCELLANEOUS,Handkerchief,,0.9,0.9
2021,MISCELLANEOUS,ID Badge,,0.65,0.65
2021,MISCELLANEOUS,Jersey Gloves-Cotton,,0.85,0.85
2021,MISCELLANEOUS,Laces-45 inch White,,1.0,1.0
2021,MISCELLANEOUS,Laces-54 inch White,,1.1,1.1
2021,MISCELLANEOUS,Laces-Boot-54 inch Tan,,1.0,1.0
2021,MISCELLANEOUS,Mug - Plastic,,2.25,2.25
2021,MISCELLANEOUS,Padlock w/Key,,13.25,13.25
2021,"OTC MEDICATIONS, VITAMINS, ETC",Acid Reducer 150 mg,24 tabs,1.9,1.9
2021,"OTC MEDICATIONS, VITAMINS, ETC",Acne Benzoyl 10%,1.5 oz,4.0,4.0
2021,"OTC MEDICATIONS, VITAMINS, ETC",Alcalak Antacid,24 tabs,1.1,1.1
2021,"OTC MEDICATIONS, VITAMINS, ETC",Artificial Tears Eye Drops-.5 oz,,1.6,1.6
2021,"OTC MEDICATIONS, VITAMINS, ETC",Aspirin,24 tabs,1.0,1.0
2021,"OTC MEDICATIONS, VITAMINS, ETC",Aspirin Free-APAP,24 tabs,1.2,1.2
2021,"OTC MEDICATIONS, VITAMINS, ETC",Calamine Lotion,6 oz,1.45,1.45
2021,"OTC MEDICATIONS, VITAMINS, ETC",Chlorphen Tabs,24 tabs,0.75,0.75
2021,"OTC MEDICATIONS, VITAMINS, ETC",Clotrimazole Antifungal Cream,,1.1,1.1
2021,"OTC MEDICATIONS, VITAMINS, ETC",Cold-Eze Lozenges,,7.0,7.0
2021,"OTC MEDICATIONS, VITAMINS, ETC",Diamode-Anti Diarrheal,6 pks,0.9,0.9
2021,"OTC MEDICATIONS, VITAMINS, ETC",Earwax Drops,15 ml,1.95,1.95
